Marca temporal,¿Estás matriculado en la Optativa de Analisis Bayesianos?,"Para matriculados en Analisis Bayesiano, ¿Era vuestra primera opción?",¿Te interesa aprender más sobre el enfoque bayesiano en análisis de datos?  ,Numero de veces promedio que te metes en chat gpt en un dia normal.
13/11/2025 17:19:25,Si,No,4,8
13/11/2025 17:19:46,NO,Si,5,5
13/11/2025 17:20:34,NO,,4,8
13/11/2025 17:21:27,Si,No,4,6
13/11/2025 17:21:34,Si,Si,3,1
13/11/2025 17:21:34,Si,No,4,2
13/11/2025 17:21:44,Si,No,4,5
13/11/2025 17:22:18,NO,No,3,3
13/11/2025 17:23:52,Si,No,4,3
13/11/2025 17:49:42,NO,No,4,2
13/11/2025 17:59:03,NO,No,3,5
13/11/2025 18:42:45,NO,,4,6
13/11/2025 18:43:45,NO,No,1,10
13/11/2025 18:44:11,Si,No,4,10
13/11/2025 18:59:54,NO,,2,5
13/11/2025 19:13:59,NO,,3,5
13/11/2025 19:14:14,NO,No,1,9
13/11/2025 19:14:31,NO,,2,4
13/11/2025 19:14:38,NO,No,4,5
13/11/2025 19:16:13,NO,No,3,7
13/11/2025 19:53:16,Si,No,5,7
14/11/2025 1:30:28,NO,,4,1
14/11/2025 15:12:34,NO,,3,8
14/11/2025 15:12:44,NO,,4,3
14/11/2025 15:14:09,NO,,3,6
14/11/2025 15:17:43,NO,,2,6
14/11/2025 15:18:09,NO,No,1,5
14/11/2025 15:36:41,NO,No,4,4
14/11/2025 16:07:34,NO,No,4,6
14/11/2025 19:09:09,NO,,4,1
14/11/2025 23:20:01,NO,,3,2
